City_Id,City,Country,Max Temp,Lat,Lng,Hotel Name
1,Hilo,US,75.27,19.7297,-155.09,Dolphin Bay Hotel
3,Bathsheba,BB,79.41,13.2167,-59.5167,Atlantis Hotel
6,Samarai,PG,84.52,-10.6167,150.6667,No hotel found
8,Karratha,AU,84.99,-20.7377,116.8463,Karratha International Hotel
9,Arraial Do Cabo,BR,72.82,-22.9661,-42.0278,No hotel found
11,Sucila,MX,71.62,21.15,-88.3167,No hotel found
12,Atuona,PF,78.46,-9.8,-139.0333,Pearl Resort
14,Vanimo,PG,82.8,-2.6741,141.3028,CBC Guesthouse
18,Verrettes,HT,70.74,19.05,-72.4667,Kay Haiti
22,Puerto Ayora,EC,70.56,-0.7393,-90.3518,Hostal La Mirada De Solitario George
24,Codrington,AU,70.56,-38.2667,141.9667,No hotel found
30,San Policarpo,PH,81.16,12.1791,125.5072,No hotel found
31,Abu Dhabi,AE,77.02,24.4667,54.3667,Marriott Downtown Abu-Dhabi
34,Rikitea,PF,76.6,-23.1203,-134.9692,Chez Bianca & Benoit
36,Kaeo,NZ,71.19,-35.1,173.7833,No hotel found
42,Saint-Philippe,RE,81.99,-21.3585,55.7679,Le Baril
43,Minab,IR,72.05,27.1467,57.0801,هتل صدف
44,Yulara,AU,88.12,-25.2406,130.9889,Outback Pioneer Hotel & Lodge
49,Busselton,AU,81.32,-33.65,115.3333,No hotel found
50,Tonj,SS,74.86,7.2737,28.6822,No hotel found
52,Avarua,CK,78.85,-21.2078,-159.775,Paradise Inn
55,Vaini,TO,84.36,-21.2,-175.2,Keleti International Resort
56,Port Alfred,ZA,70.18,-33.5906,26.891,No hotel found
57,Angoche,MZ,80.24,-16.2325,39.9086,Hotel Quirimbas
63,Georgetown,MY,81.23,5.4112,100.3354,Page 63 hostel
64,Sao Luis,BR,82.6,-2.5297,-44.3028,No hotel found
65,Bambous Virieux,MU,82.65,-20.3428,57.7575,No hotel found
66,Neuquen,AR,71.49,-38.9516,-68.0591,Hotel Argentina 307
70,Urucara,BR,72.91,-2.5364,-57.76,No hotel found
72,Viedma,AR,75.74,-40.8135,-62.9967,Níjar
74,Kapaa,US,75.52,22.0752,-159.319,Pono Kai Resort
77,Marica,BR,73.35,-22.9194,-42.8186,Pousada Vila Flor
78,Buala,SB,83.71,-8.145,159.5921,No hotel found
83,Coruripe,BR,76.24,-10.1256,-36.1756,No hotel found
84,Phan Thiet,VN,84.4,10.9333,108.1,Khách sạn Cà Ty
87,Faanui,PF,80.46,-16.4833,-151.75,Oa Oa Lodge
90,Vangaindrano,MG,76.42,-23.35,47.6,Fanilo
93,Maragogi,BR,76.35,-9.0122,-35.2225,Pousada Mariluz
100,Pangai,TO,80.2,-19.8,-174.35,Billy's Place
101,Tecoanapa,MX,71.51,16.5167,-98.75,No hotel found
111,Mitsamiouli,KM,81.48,-11.3847,43.2844,Hotel le Paradis
114,Takoradi,GH,78.33,4.8845,-1.7554,Hillcrest
115,Lahaina,US,75.81,20.8783,-156.6825,Best Western Pioneer Inn
116,Butaritari,KI,82.08,3.0707,172.7902,No hotel found
117,Kyaikkami,MM,79.7,16.08,97.5675,ရှုခင်းသာ
120,Copala,MX,72.72,16.65,-98.9833,No hotel found
123,Isangel,VU,81.73,-19.55,169.2667,Tanna Lodge
127,Itupiranga,BR,75.52,-5.1347,-49.3267,No hotel found
130,Bairiki,KI,86.0,1.3292,172.9752,Marry's Motel
131,Labuhan,ID,88.38,-6.8844,112.2051,No hotel found
133,Sibolga,ID,76.14,1.7427,98.7792,Hotel Prima Indah
137,Praia,CV,72.14,14.9215,-23.5087,Casa Sodadi
138,Sweetwater,US,73.02,25.7634,-80.3731,Courtyard by Marriott Miami at Dolphin Mall
140,Axim,GH,77.79,4.8699,-2.2405,Axim Beach Hotel
143,Trincomalee,LK,79.92,8.5711,81.2335,Silver Star Inn
144,Haapiti,PF,81.72,-17.5667,-149.8667,No hotel found
159,Sarangani,PH,83.14,5.4033,125.4636,No hotel found
160,Caravelas,BR,70.99,-17.7125,-39.2481,Pousada dos Navegantes
163,Mahebourg,MU,82.69,-20.4081,57.7,Grand Bel Air
164,Arang,IN,73.72,21.2,81.9667,No hotel found
169,Moramanga,MG,72.34,-18.9333,48.2,Tsara-Hotel
170,Tual,ID,78.84,-5.6667,132.75,Suita
172,Marovoay,MG,82.65,-16.1,46.6333,No hotel found
174,Kanniyakumari,IN,83.35,8.0833,77.5667,The Seashore Hotel
180,Antsohihy,MG,80.67,-14.8796,47.9875,Escale
182,Tezu,IN,77.94,27.9167,96.1667,No hotel found
183,Cayenne,GF,73.44,4.9333,-52.3333,Central Hôtel
186,Ilhabela,BR,70.56,-23.7781,-45.3581,Vila Kebaya
187,Beloha,MG,81.09,-25.1667,45.05,No hotel found
188,Atambua,ID,82.42,-9.1061,124.8925,Hotel Matahari
193,Port-Gentil,GA,76.96,-0.7193,8.7815,Tara-Mé
197,Port Maria,JM,74.05,18.3685,-76.8895,Casa Maria Hotel
198,Fare,PF,80.38,-16.7,-151.0167,hôtel Maitai Lapita Village
199,Kahului,US,75.85,20.8947,-156.47,Maui Seaside Hotel
204,Inirida,CO,73.42,3.8653,-67.9239,Residencias El Turista del Guainia
205,Salalah,OM,80.69,17.0151,54.0924,Muscat International Hotel
207,Cabo San Lucas,MX,70.52,22.8909,-109.9124,Comfort Rooms
208,Pati,ID,89.71,-6.7559,111.038,Pati Hotel
212,Nabire,ID,86.07,-3.3667,135.4833,Hotel Anggrek
215,Hithadhoo,MV,81.64,-0.6,73.0833,Pebbles Inn
217,Benguela,AO,73.53,-12.5763,13.4055,Hotel Moibela
221,Pauini,BR,71.28,-7.7136,-66.9764,No hotel found
225,Jaciara,BR,72.19,-15.9653,-54.9683,Pousada Rosa dos Ventos
228,Salina Cruz,MX,76.23,16.1667,-95.2,Hotel Mision San José
230,Tanga,TZ,80.38,-5.0667,39.1,Nyumbani Hotel & Reasort
232,Emerald,AU,79.34,-23.5333,148.1667,Emerald Central Hotel
233,Road Town,VG,77.09,18.4167,-64.6167,No hotel found
245,Jua,IN,85.98,15.5333,73.9333,Navdurga
250,Casa Nova,BR,77.14,-9.4167,-41.1333,No hotel found
258,Mattru,SL,72.68,7.6244,-11.8332,No hotel found
259,Ndjole,GA,72.28,-0.1783,10.7649,Motel Kedyann
261,Kloulklubed,PW,81.1,7.0419,134.2556,The Adventures Inn
264,Bengkulu,ID,84.29,-3.8004,102.2655,Dena Hotel
265,Dingle,PH,79.11,10.9995,122.6711,No hotel found
266,Tura,IN,73.83,25.5198,90.2201,No hotel found
268,Launceston,AU,77.14,-41.45,147.1667,Hotel Charles
269,Anloga,GH,79.95,5.7947,0.8973,Hotel de White House
270,Tiarei,PF,82.0,-17.5333,-149.3333,No hotel found
271,Auki,SB,83.19,-8.7676,160.7034,No hotel found
272,Kirakira,SB,84.72,-10.4544,161.9205,No hotel found
273,Sorong,ID,80.17,-0.8833,131.25,Hotel Membramo Marina
274,Kieta,PG,82.96,-6.2167,155.6333,No hotel found
277,Kavieng,PG,82.94,-2.5744,150.7967,Kavieng Hotel
281,Sibu,MY,80.2,2.3,111.8167,The Paramount Hotel
287,Poum,NC,80.64,-20.2333,164.0167,No hotel found
293,Padang,ID,86.05,-0.9492,100.3543,losmen Surya
295,Gizo,SB,84.47,-8.103,156.8419,Gizo Hotel
298,Gaoua,BF,71.64,10.2992,-3.2508,No hotel found
307,Meulaboh,ID,78.28,4.1363,96.1285,Hotel Meuligou
308,Trairi,BR,78.12,-3.2778,-39.2689,No hotel found
311,Kayes,ML,70.25,14.0,-11.0,No hotel found
312,Mumford,GH,78.33,5.2618,-0.759,No hotel found
315,Pilar,BR,71.53,-9.5972,-35.9567,No hotel found
316,Bajil,YE,75.04,15.0584,43.2851,فندق و أجنحة الشرق الأوسط
318,Suwannaphum,TH,71.1,15.6035,103.8021,Suwan Hotel & Resort
323,Touros,BR,77.23,-5.1989,-35.4608,Pousada Atlântico
325,Mekhe,SN,70.21,15.1097,-16.6218,No hotel found
326,Wajir,KE,77.68,1.7471,40.0573,Ngamia Club
328,Buta,CD,71.26,2.7858,24.73,Hôtel Rubi
331,Quatre Cocos,MU,82.51,-20.2078,57.7625,Horisun
332,Hambantota,LK,79.14,6.1241,81.1185,Oasis Aurweda Resort Hambathota
337,Salinopolis,BR,79.12,-0.6136,-47.3561,Hotel Salinópolis
338,Cockburn Town,TC,78.46,21.4612,-71.1419,The Salt Raker Inn
356,Xuddur,SO,72.5,4.1213,43.8894,No hotel found
360,Nhulunbuy,AU,88.41,-12.2333,136.7667,No hotel found
366,Baleshwar,IN,75.97,21.4942,86.9317,Dropadi
369,Puerto Lempira,HN,75.34,15.2667,-83.7667,Hotel Samaritano
374,Vila Velha,BR,71.55,-20.3297,-40.2925,Hotel Prainha
375,Jagdalpur,IN,75.87,19.0667,82.0333,Hotel Devansh Residency
378,Sinnamary,GF,76.91,5.3833,-52.95,Hôtel du fleuve
382,Harper,LR,77.13,4.375,-7.7169,No hotel found
387,Pucallpa,PE,71.46,-8.3791,-74.5539,Hospedaje Cristofer
389,Chunhuhub,MX,72.18,19.55,-88.6833,No hotel found
391,Nisia Floresta,BR,79.61,-6.0911,-35.2086,No hotel found
394,Sambava,MG,79.48,-14.2667,50.1667,Royal Sava Hôtel
397,Manakara,MG,78.78,-22.1333,48.0167,Hotel H1
399,Luanda,AO,73.4,-8.8368,13.2343,Hotel Forum
402,Grenville,GD,78.85,12.1167,-61.6167,No hotel found
403,Sur,OM,76.8,22.5667,59.5289,Sur Hotel
406,Lorengau,PG,83.26,-2.0226,147.2712,Seeadler Bay Hotel
408,Bima,ID,88.65,-8.4667,118.7167,No hotel found
410,Mayumba,GA,76.33,-3.432,10.6554,Résidence Hôtelière Fabso
411,Kulhudhuffushi,MV,81.23,6.6221,73.07,No hotel found
412,General Roca,AR,75.61,-39.0333,-67.5833,Hotel Austral
416,Kavaratti,IN,81.63,10.5669,72.642,No hotel found
417,Liku,ID,83.52,-0.7275,119.8922,No hotel found
418,Puerto Ayacucho,VE,73.67,5.6639,-67.6236,Hotel VENETUR Amazonas
