City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Mataura,NZ,-46.1927,168.8643,57.47,53,97,4.18,overcast clouds
1,Hilo,US,19.7297,-155.09,75.27,92,53,4.0,broken clouds
2,Atar,MR,20.5169,-13.0499,66.65,39,5,9.48,clear sky
3,Bathsheba,BB,13.2167,-59.5167,79.41,90,75,19.57,broken clouds
4,Hobart,AU,-42.8794,147.3294,68.27,61,20,13.8,few clouds
5,Ushuaia,AR,-54.8,-68.3,46.06,76,0,11.5,clear sky
6,Samarai,PG,-10.6167,150.6667,84.52,71,96,10.29,light rain
7,Mukono,UG,0.3533,32.7553,65.95,78,39,1.23,scattered clouds
8,Karratha,AU,-20.7377,116.8463,84.99,56,5,17.47,clear sky
9,Arraial Do Cabo,BR,-22.9661,-42.0278,72.82,88,100,6.08,overcast clouds
10,Alta Floresta,BR,-9.8756,-56.0861,69.66,97,94,1.03,moderate rain
11,Sucila,MX,21.15,-88.3167,71.62,90,73,3.31,light rain
12,Atuona,PF,-9.8,-139.0333,78.46,79,37,21.25,scattered clouds
13,Yellowknife,CA,62.456,-114.3525,-19.44,75,95,8.01,overcast clouds
14,Vanimo,PG,-2.6741,141.3028,82.8,78,100,3.71,overcast clouds
15,Nikolskoye,RU,59.7035,30.7861,-4.72,100,57,2.21,broken clouds
16,Kaitangata,NZ,-46.2817,169.8464,54.73,68,93,6.64,overcast clouds
17,Shepsi,RU,44.0361,39.1489,56.48,62,96,3.71,overcast clouds
18,Verrettes,HT,19.05,-72.4667,70.74,82,43,2.73,scattered clouds
19,Kurilsk,RU,45.2333,147.8833,31.86,77,100,24.74,light snow
20,Korla,CN,41.7597,86.1469,21.63,49,6,5.73,clear sky
21,Hualmay,PE,-11.0964,-77.6139,68.11,86,68,5.99,broken clouds
22,Puerto Ayora,EC,-0.7393,-90.3518,70.56,95,93,5.68,overcast clouds
23,Dikson,RU,73.5069,80.5464,4.87,91,100,15.9,overcast clouds
24,Codrington,AU,-38.2667,141.9667,70.56,50,0,17.76,clear sky
25,Primorsko-Akhtarsk,RU,46.0497,38.1747,48.7,88,100,11.61,overcast clouds
26,Damghan,IR,36.1683,54.348,43.93,72,17,2.21,few clouds
27,Albany,US,42.6001,-73.9662,28.81,93,53,4.29,broken clouds
28,Kodiak,US,57.79,-152.4072,36.91,70,100,6.91,overcast clouds
29,Honningsvag,NO,70.9821,25.9704,24.55,86,75,20.71,broken clouds
30,San Policarpo,PH,12.1791,125.5072,81.16,84,100,15.26,overcast clouds
31,Abu Dhabi,AE,24.4667,54.3667,77.02,56,20,6.91,few clouds
32,Torbay,CA,47.6666,-52.7314,37.27,94,100,8.99,overcast clouds
33,Ilulissat,GL,69.2167,-51.1,19.42,45,75,18.41,broken clouds
34,Rikitea,PF,-23.1203,-134.9692,76.6,81,100,12.97,light rain
35,Mount Isa,AU,-20.7333,139.5,98.37,19,65,5.75,broken clouds
36,Kaeo,NZ,-35.1,173.7833,71.19,73,92,7.54,overcast clouds
37,Saldanha,ZA,-33.0117,17.9442,65.55,86,45,5.14,scattered clouds
38,Takaka,NZ,-40.85,172.8,64.56,73,45,2.86,scattered clouds
39,Punta Arenas,CL,-53.15,-70.9167,46.51,76,75,17.27,broken clouds
40,Konibodom,TJ,40.2843,70.4426,43.45,54,38,6.38,scattered clouds
41,Zhigansk,RU,66.7697,123.3711,-43.67,98,73,10.11,broken clouds
42,Saint-Philippe,RE,-21.3585,55.7679,81.99,77,72,13.15,broken clouds
43,Minab,IR,27.1467,57.0801,72.05,25,0,15.73,clear sky
44,Yulara,AU,-25.2406,130.9889,88.12,29,66,16.67,broken clouds
45,Xinxiang,CN,35.3089,113.8672,46.06,12,0,15.14,clear sky
46,Clyde River,CA,70.4692,-68.5914,10.81,83,100,2.73,overcast clouds
47,Cape Town,ZA,-33.9258,18.4232,69.91,79,72,4.0,broken clouds
48,Hermanus,ZA,-34.4187,19.2345,67.8,83,79,10.74,broken clouds
49,Busselton,AU,-33.65,115.3333,81.32,39,4,11.65,clear sky
50,Tonj,SS,7.2737,28.6822,74.86,36,46,3.02,scattered clouds
51,Bairnsdale,AU,-37.8333,147.6167,64.06,72,10,5.99,clear sky
52,Avarua,CK,-21.2078,-159.775,78.85,89,75,6.91,broken clouds
53,Brunico,IT,46.7958,11.9364,20.12,60,47,2.35,scattered clouds
54,Ostrovnoy,RU,68.0531,39.5131,17.71,92,88,16.6,overcast clouds
55,Vaini,TO,-21.2,-175.2,84.36,74,20,9.22,few clouds
56,Port Alfred,ZA,-33.5906,26.891,70.18,82,100,7.47,overcast clouds
57,Angoche,MZ,-16.2325,39.9086,80.24,79,100,11.61,overcast clouds
58,Paamiut,GL,61.994,-49.6678,19.83,67,76,9.19,broken clouds
59,Zhigalovo,RU,54.8097,105.1578,-1.84,91,99,0.56,overcast clouds
60,Lavrentiya,RU,65.5833,-171.0,14.65,78,100,10.78,overcast clouds
61,Cherskiy,RU,68.75,161.3,9.37,81,100,3.76,overcast clouds
62,Svetlogorsk,BY,52.6333,29.7333,21.34,95,100,13.13,light snow
63,Georgetown,MY,5.4112,100.3354,81.23,85,40,6.91,moderate rain
64,Sao Luis,BR,-2.5297,-44.3028,82.6,78,20,5.75,few clouds
65,Bambous Virieux,MU,-20.3428,57.7575,82.65,65,40,17.27,scattered clouds
66,Neuquen,AR,-38.9516,-68.0591,71.49,40,0,12.66,clear sky
67,Maine-Soroa,NE,13.2114,12.0241,65.37,28,81,9.95,broken clouds
68,Springfield,US,37.2153,-93.2982,28.53,68,0,6.91,clear sky
69,Namibe,AO,-15.1961,12.1522,68.83,84,88,2.93,overcast clouds
70,Urucara,BR,-2.5364,-57.76,72.91,97,93,2.17,overcast clouds
71,Hornepayne,CA,49.2138,-84.7705,26.6,98,100,2.95,light snow
72,Viedma,AR,-40.8135,-62.9967,75.74,30,100,20.76,overcast clouds
73,Pangnirtung,CA,66.1451,-65.7125,20.28,59,94,7.02,overcast clouds
74,Kapaa,US,22.0752,-159.319,75.52,88,0,4.61,moderate rain
75,Saskylakh,RU,71.9167,114.0833,-40.79,100,60,4.94,broken clouds
76,Roma,US,43.2128,-75.4557,31.57,86,100,4.61,overcast clouds
77,Marica,BR,-22.9194,-42.8186,73.35,87,100,1.57,overcast clouds
78,Buala,SB,-8.145,159.5921,83.71,73,37,3.71,light rain
79,Bluff,NZ,-46.6,168.3333,57.79,77,98,18.21,overcast clouds
80,Klaksvik,FO,62.2266,-6.589,29.32,57,100,17.49,overcast clouds
81,Khatanga,RU,71.9667,102.5,-23.3,100,34,4.74,scattered clouds
82,Marsa Matruh,EG,31.3525,27.2453,65.53,80,41,10.47,scattered clouds
83,Coruripe,BR,-10.1256,-36.1756,76.24,84,72,11.25,broken clouds
84,Phan Thiet,VN,10.9333,108.1,84.4,54,100,22.46,overcast clouds
85,Barrow,US,71.2906,-156.7887,-11.18,77,0,8.05,clear sky
86,Eldoret,KE,0.5204,35.2699,59.76,74,4,12.24,clear sky
87,Faanui,PF,-16.4833,-151.75,80.46,77,99,13.22,light rain
88,Valdivia,CL,-39.8142,-73.2459,55.49,96,99,2.75,overcast clouds
89,Ixtapa,MX,20.7,-105.2,69.03,83,75,3.44,broken clouds
90,Vangaindrano,MG,-23.35,47.6,76.42,85,54,9.62,broken clouds
91,Carnarvon,AU,-24.8667,113.6333,90.23,40,0,11.21,clear sky
92,Geraldton,AU,-28.7667,114.6,95.41,14,0,9.22,clear sky
93,Maragogi,BR,-9.0122,-35.2225,76.35,78,88,6.93,overcast clouds
94,Severo-Kurilsk,RU,50.6789,156.125,25.18,65,37,7.52,scattered clouds
95,Hasaki,JP,35.7333,140.8333,48.22,34,73,15.59,light rain
96,Tasiilaq,GL,65.6145,-37.6368,10.56,48,0,6.22,clear sky
97,Lompoc,US,34.6391,-120.4579,56.79,100,0,5.75,clear sky
98,Filingue,NE,14.3521,3.3168,68.09,23,23,9.4,few clouds
99,Upernavik,GL,72.7868,-56.1549,17.69,49,100,5.28,overcast clouds
100,Pangai,TO,-19.8,-174.35,80.2,75,14,10.13,few clouds
101,Tecoanapa,MX,16.5167,-98.75,71.51,81,51,4.9,broken clouds
102,Abu Kamal,SY,34.4506,40.9171,53.24,61,4,6.15,clear sky
103,New Norfolk,AU,-42.7826,147.0587,67.91,47,1,4.0,clear sky
104,Berlevag,NO,70.8578,29.0864,21.2,67,71,14.97,broken clouds
105,East London,ZA,-33.0153,27.9116,67.75,82,98,8.08,overcast clouds
106,Nemuro,JP,43.3236,145.575,30.97,67,2,28.81,clear sky
107,Bredasdorp,ZA,-34.5322,20.0403,66.81,81,88,9.69,overcast clouds
108,Ketchikan,US,55.3422,-131.6461,26.58,36,0,4.61,clear sky
109,Longyearbyen,SJ,78.2186,15.6401,10.24,79,75,11.5,broken clouds
110,Bulawayo,ZW,-20.15,28.5833,67.15,83,100,5.26,overcast clouds
111,Mitsamiouli,KM,-11.3847,43.2844,81.48,76,83,8.43,broken clouds
112,Bilma,NE,18.6853,12.9164,65.14,27,53,8.28,broken clouds
113,Galveston,US,29.3669,-94.9669,51.98,59,0,9.22,clear sky
114,Takoradi,GH,4.8845,-1.7554,78.33,84,30,4.45,scattered clouds
115,Lahaina,US,20.8783,-156.6825,75.81,90,8,3.36,light rain
116,Butaritari,KI,3.0707,172.7902,82.08,77,86,12.19,light rain
