City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Jalu,LY,2022-12-15 21:52:24,29.0331,21.5482,67.96,40,0,8.34
1,Fort Frances,CA,2022-12-15 21:52:24,48.5999,-93.4003,30.16,87,100,12.44
2,Faya,SA,2022-12-15 21:52:24,18.3851,42.4509,55.51,71,82,2.73
3,Rikitea,PF,2022-12-15 21:52:25,-23.1203,-134.9692,74.26,75,97,8.08
4,Qaanaaq,GL,2022-12-15 21:52:25,77.484,-69.3632,15.49,71,100,8.14
5,Port Elizabeth,ZA,2022-12-15 21:52:26,-33.918,25.5701,71.31,96,100,2.3
6,Touros,BR,2022-12-15 21:52:26,-5.1989,-35.4608,78.93,75,100,11.83
7,Burgeo,CA,2022-12-15 21:52:27,47.6167,-57.6152,36.16,77,97,33.11
8,Undory,RU,2022-12-15 21:52:27,54.6085,48.3928,9.64,96,99,4.56
9,Bilibino,RU,2022-12-15 21:52:28,68.0546,166.4372,-11.87,74,95,4.25
10,Lipin Bor,RU,2022-12-15 21:52:28,60.2622,37.9763,19.06,95,100,10.85
11,Kilindoni,TZ,2022-12-15 21:52:29,-7.9139,39.6668,80.58,75,11,11.45
12,Odweyne,SO,2022-12-15 21:52:29,9.4092,45.064,63.27,34,0,10.42
13,Barrow,US,2022-12-15 21:52:30,71.2906,-156.7887,10.42,72,100,9.22
14,Sangmelima,CM,2022-12-15 21:52:30,2.9333,11.9833,70.75,79,61,2.62
15,Auki,SB,2022-12-15 21:52:31,-8.7676,160.7034,82.29,75,30,2.66
16,Hamilton,US,2022-12-15 21:47:50,39.1834,-84.5333,45.23,70,75,10.36
17,Myitkyina,MM,2022-12-15 21:52:32,25.3833,97.4,62.8,71,76,2.44
18,Sitka,US,2022-12-15 21:52:32,57.0531,-135.33,42.69,87,100,8.05
19,Severo-Kurilsk,RU,2022-12-15 21:52:33,50.6789,156.125,25.34,74,86,11.74
20,Dikson,RU,2022-12-15 21:52:33,73.5069,80.5464,4.17,90,100,23.04
21,Nishihara,JP,2022-12-15 21:52:34,26.1842,127.7558,65.48,97,100,13.8
22,Port Alfred,ZA,2022-12-15 21:52:34,-33.5906,26.891,70.18,96,9,3.33
23,Bambous Virieux,MU,2022-12-15 21:52:35,-20.3428,57.7575,76.21,83,40,8.05
24,Itarema,BR,2022-12-15 21:52:35,-2.9248,-39.9167,79.74,74,97,15.12
25,Goderich,CA,2022-12-15 21:49:07,43.7501,-81.7165,37.9,87,100,17.27
